time,Sun_x,Sun_y,Sun_z,Sun_vx,Sun_vy,Sun_vz,Earth_x,Earth_y,Earth_z,Earth_vx,Earth_vy,Earth_vz,Jupiter_x,Jupiter_y,Jupiter_z,Jupiter_vx,Jupiter_vy,Jupiter_vz
0,0,0,0,0,0,0,1,0,0,0,0,-6.283185307,5.2,0,0,0,0,2.75535903
0.001,7.53E-10,0,0,0,0,0,0.999980262,0,-0.006283185,0,0,-6.283185307,5.19999927,0,0.002755359,0,0,2.75535903
0.002,3.01E-09,0,-9.21E-15,0,0,0,0.999921048,0,-0.012566123,0,0,-6.283185307,5.19999708,0,0.005510717,0,0,2.75535903
0.003,6.77E-09,0,-3.68E-14,0,0,0,0.999822361,0,-0.018848564,0,0,-6.283185307,5.19999343,0,0.008266074,0,0,2.75535903
0.004,1.20E-08,0,-9.19E-14,0,0,0,0.999684205,0,-0.025130261,0,0,-6.283185307,5.19998832,0,0.011021428,0,0,2.75535903
0.005,1.88E-08,0,-1.84E-13,0,0,0,0.999506585,0,-0.031410966,0,0,-6.283185307,5.19998175,0,0.01377678,0,0,2.75535903
0.006,2.71E-08,0,-3.21E-13,0,0,0,0.999289509,0,-0.03769043,0,0,-6.283185307,5.19997372,0,0.016532127,0,0,2.75535903
0.007,3.69E-08,0,-5.12E-13,0,0,0,0.999032984,0,-0.043968407,0,0,-6.283185307,5.19996423,0,0.01928747,0,0,2.75535903
0.008,4.82E-08,0,-7.66E-13,0,0,0,0.99873702,0,-0.050244648,0,0,-6.283185307,5.19995328,0,0.022042807,0,0,2.75535903
0.009,6.10E-08,0,-1.09E-12,0,0,0,0.998401631,0,-0.056518906,0,0,-6.283185307,5.19994087,0,0.024798138,0,0,2.75535903
0.01,7.53E-08,0,-1.50E-12,0,0,0,0.998026828,0,-0.062790932,0,0,-6.283185307,5.199927,0,0.027553463,0,0,2.75535903
0.011,9.11E-08,0,-1.99E-12,0,0,0,0.997612627,0,-0.069060479,0,0,-6.283185307,5.19991167,0,0.030308779,0,0,2.75535903
0.012,1.08E-07,0,-2.58E-12,0,0,0,0.997159044,0,-0.0753273,0,0,-6.283185307,5.19989488,0,0.033064087,0,0,2.75535903
0.013,1.27E-07,0,-3.27E-12,0,0,0,0.996666097,0,-0.081591146,0,0,-6.283185307,5.19987663,0,0.035819386,0,0,2.75535903
0.014,1.48E-07,0,-4.06E-12,0,0,0,0.996133805,0,-0.087851772,0,0,-6.283185307,5.19985692,0,0.038574674,0,0,2.75535903
0.015,1.69E-07,0,-4.98E-12,0,0,0,0.995562189,0,-0.09410893,0,0,-6.283185307,5.19983575,0,0.041329952,0,0,2.75535903
0.016,1.93E-07,0,-6.01E-12,0,0,0,0.994951273,0,-0.100362372,0,0,-6.283185307,5.19981312,0,0.044085218,0,0,2.75535903
0.017,2.18E-07,0,-7.18E-12,0,0,0,0.994301079,0,-0.106611851,0,0,-6.283185307,5.19978903,0,0.046840472,0,0,2.75535903
0.018,2.44E-07,0,-8.47E-12,0,0,0,0.993611634,0,-0.112857122,0,0,-6.283185307,5.199763481,0,0.049595713,0,0,2.75535903
0.019,2.72E-07,0,-9.91E-12,0,0,0,0.992882965,0,-0.119097938,0,0,-6.283185307,5.199736471,0,0.05235094,0,0,2.75535903
0.02,3.01E-07,0,-1.15E-11,0,0,0,0.992115101,0,-0.125334051,0,0,-6.283185307,5.199708001,0,0.055106152,0,0,2.75535903
